ID,form,lang_id,homologue_set_id,PGer
1,abrs,got,1,*abra-
2,ǫfugr,non,2,*abuha-
3,øvigur,fao,2,*abuha-
4,avun,ovd,2,*abuha-
5,aƀuh,osx,2,*abuha-
6,abuh,goh,2,*abuha-
7,ebich,gmh,2,*abuha-
8,adesa,ang,3,*adesan
9,adze,eng,3,*adesan
10,afar,got,4,*afera-
11,afol,ang,5,*afla
12,afl,non,5,*afla
13,alv,fao,5,*afla
14,afl,non,6,*afla
15,alvur,fao,6,*afla
16,eftir,non,7,*after(i)
17,eftir,fao,7,*after(i)
18,æfter,ang,7,*after(i)
19,after,eng,7,*after(i)
20,efter,ofs,7,*after(i)
21,achter,nld,7,*after(i)
22,aftar,goh,7,*after(i)
23,after,gmh,7,*after(i)
24,ogan,got,8,*agan-
25,agn,non,9,*agana-
26,agn,fao,9,*agana-
27,egede,ang,10,*agiþō-
28,eide,ofs,10,*agiþō-
29,egitha,osx,10,*agiþō-
30,egede,dum,10,*agiþō-
31,egida,goh,10,*agiþō-
32,egede,gmh,10,*agiþō-
33,agis,got,11,*agiz-
34,egg,non,12,*agjō-
35,eggia,osx,12,*agjō-
36,ecka,goh,12,*agjō-
37,Ecke,deu,12,*agjō-
38,agls*,got,13,*agla-
39,aigan,got,14,*aigan-
40,eiga,non,14,*aigan-
41,eiga,fao,14,*aigan-
42,āgan,ang,14,*aigan-
43,owe,eng,14,*aigan-
44,āga,ofs,14,*aigan-
45,ēgan,osx,14,*aigan-
46,eigan,goh,14,*aigan-
47,eigen,gmh,14,*aigan-
48,eigen,deu,15,*aigena-
49,eiginn,non,15,*aigena-
50,egin,fao,15,*aigena-
51,iegen,ovd,15,*aigena-
52,āgen,ang,15,*aigena-
53,own,eng,15,*aigena-
54,˘āin,ofs,15,*aigena-
55,ēgan,osx,15,*aigena-
56,eigen,nld,15,*aigena-
57,eigan,goh,15,*aigena-
58,íkorni,non,16,*aikwernan-
59,íkorni,fao,16,*aikwernan-
60,aikuonn,ovd,16,*aikwernan-
61,ācweorn(a),ang,16,*aikwernan-
62,eecoren,dum,16,*aikwernan-
63,eekhoren,nld,16,*aikwernan-
64,eihhurno,goh,16,*aikwernan-
65,ains,got,17,*aina-
66,einn,non,17,*aina-
67,ein,fao,17,*aina-
68,ien,ovd,17,*aina-
69,ān,ang,17,*aina-
70,one,eng,17,*aina-
71,ãn,ofs,17,*aina-
72,ēn,osx,17,*aina-
73,een,nld,17,*aina-
74,ein,goh,17,*aina-
75,ein,deu,17,*aina-
76,ainlif,got,18,*ainalifa-
77,ellifu,non,18,*ainalifa-
78,ellivu,fao,18,*ainalifa-
79,ellåv,ovd,18,*ainalifa-
80,endlufon,ang,18,*ainalifa-
81,eleven,eng,18,*ainalifa-
82,andlova,ofs,18,*ainalifa-
83,ēlleƀan,osx,18,*ainalifa-
84,elf,nld,18,*ainalifa-
85,einlef,goh,18,*ainalifa-
86,elf,deu,18,*ainalifa-
87,ár,non,19,*airō-
88,ár,fao,19,*airō-
89,åra,ovd,19,*airō-
90,ār,ang,19,*airō-
91,oar,eng,19,*airō-
92,ada,got-crm,20,*ajja-
93,egg,non,20,*ajja-
94,egg,fao,20,*ajja-
95,egg,ovd,20,*ajja-
96,ǣg,ang,20,*ajja-
97,aai,fry,20,*ajja-
98,ei,osx,20,*ajja-
99,ei,nld,20,*ajja-
100,ei,goh,20,*ajja-
101,Ei,deu,20,*ajja-
102,acan,ang,21,*akan-
103,ache,eng,21,*akan-
104,alse,gml,22,*alasnō-
105,alsene,dum,22,*alasnō-
106,els,nld,22,*alasnō-
107,alansa,goh,22,*alasnō-
108,elve,gml,23,*albī-
109,elfr,non,23,*albī-
110,ōve,ovd,23,*albī-
111,ǫlpt,non,24,*albut-
112,álft,isl,24,*albut-
113,ielfetu,ang,24,*albut-
114,elk,eng,24,*albut-
115,albiz,gmh,24,*albut-
116,eald,ang,25,*alda-
117,old,eng,25,*alda-
118,ald,ofs,25,*alda-
119,ald,osx,25,*alda-
120,oud,nld,25,*alda-
121,alt,goh,25,*alda-
122,alt,deu,25,*alda-
123,alϸs,got,26,*alan-
124,ǫld,non,26,*alan-
125,aldor,ang,27,*alan-
126,aldar,osx,27,*alan-
127,ouder,dum,27,*alan-
128,altar,goh,27,*alan-
129,Alter,deu,27,*alan-
